event_id,st,d,n_cat,n_store,prefix_by_id,prefix_by_lo
606690,KBKF,2026-06-19,11,1,true,true
642572,KAUS,2026-06-29,11,1,true,true
337827,EHAM,2026-04-08,11,11,true,true
341816,ZSPD,2026-04-08,11,11,true,true
341817,WSSS,2026-04-08,11,11,true,true
359570,ZUCK,2026-04-13,11,11,true,true
390856,RPLL,2026-04-20,11,11,true,true
394279,EGLC,2026-04-21,11,11,true,true
426266,EFHK,2026-04-30,11,11,true,true
443300,SBGR,2026-05-05,11,11,true,true
460655,KLGA,2026-05-10,11,11,true,true
460725,RPLL,2026-05-10,11,11,true,true
299398,EGLC,2026-03-27,11,3,true,true
341818,LIMC,2026-04-08,11,11,true,true
359574,ZGSZ,2026-04-13,11,11,true,true
359582,MMMX,2026-04-13,11,11,true,true
390845,RKPK,2026-04-20,11,11,true,true
390848,MPMG,2026-04-20,11,11,true,true
390850,WIHH,2026-04-20,11,11,true,true
390854,ZGGG,2026-04-20,11,11,true,true
341833,EPWA,2026-04-08,11,11,true,true
359586,MPMG,2026-04-13,11,11,true,true
443345,ZGGG,2026-05-05,11,11,true,true
460660,LTAC,2026-05-10,11,11,true,true
479721,LTAC,2026-05-15,11,11,true,true
483442,EGLC,2026-05-16,11,11,true,true
497032,FACT,2026-05-20,11,1,true,true
515640,NZWN,2026-05-25,11,1,true,true
951836,,2026-09-04,11,11,true,true
780117,OPKC,2026-08-03,11,1,true,true
804485,RCSS,2026-08-08,11,1,true,true
831473,WMKK,2026-08-13,11,1,true,true
836381,KHOU,2026-08-13,11,1,true,true
884001,OPKC,2026-08-23,11,1,true,true
515646,ZSPD,2026-05-25,11,1,true,true
620947,ZUUU,2026-06-24,11,1,true,true
624157,KSFO,2026-06-24,11,1,true,true
639552,ZUCK,2026-06-29,11,1,true,true
657484,ZUUU,2026-07-04,11,1,true,true
657487,WMKK,2026-07-04,11,1,true,true
693931,ZGSZ,2026-07-14,11,1,true,true
712620,VILK,2026-07-19,11,1,true,true
533183,OEJN,2026-05-30,11,1,true,true
390844,MMMX,2026-04-20,11,11,true,true
426250,RCSS,2026-04-30,11,11,true,true
479715,KSEA,2026-05-15,11,11,true,true
479726,RJTT,2026-05-15,11,11,true,true
341819,LEMD,2026-04-08,11,11,true,true
390832,ZUCK,2026-04-20,11,11,true,true
408604,KAUS,2026-04-25,11,11,true,true
408631,RPLL,2026-04-25,11,11,true,true
426268,WMKK,2026-04-30,11,11,true,true
443337,EHAM,2026-05-05,11,11,true,true
758738,KDAL,2026-07-29,11,1,true,true
715767,KLAX,2026-07-19,11,1,true,true
731548,RJTT,2026-07-24,11,1,true,true
779965,WMKK,2026-08-03,11,1,true,true
789044,EGLC,2026-08-05,11,3,true,true
799592,EGLC,2026-08-07,11,3,true,true
831474,ZGGG,2026-08-13,11,1,true,true
779957,ZHHH,2026-08-03,11,1,true,true
883967,VILK,2026-08-23,11,1,true,true
341801,RKSI,2026-04-08,11,11,true,true
341850,KHOU,2026-04-08,11,11,true,true
348963,EGLC,2026-04-10,11,11,true,true
387418,EGLC,2026-04-19,11,11,true,true
390851,OEJN,2026-04-20,11,11,true,true
408614,EFHK,2026-04-25,11,11,true,true
426231,CYYZ,2026-04-30,11,11,true,true
426238,LTAC,2026-04-30,11,11,true,true
426258,KHOU,2026-04-30,11,11,true,true
479719,KMIA,2026-05-15,11,11,true,true
754890,EFHK,2026-07-29,11,1,true,true
771068,EGLC,2026-08-01,11,3,true,true
804492,WMKK,2026-08-08,11,1,true,true
804495,RPLL,2026-08-08,11,1,true,true
857535,FACT,2026-08-18,11,1,true,true
951871,,2026-09-04,11,11,true,true
951877,,2026-09-04,11,11,true,true
515652,LIMC,2026-05-25,11,1,true,true
550268,MPMG,2026-06-04,11,1,true,true
550295,ZSQD,2026-06-04,11,1,true,true
589058,KSFO,2026-06-14,11,1,true,true
639541,NZWN,2026-06-29,11,1,true,true
675501,ZUUU,2026-07-09,11,1,true,true
697074,KLGA,2026-07-14,11,1,true,true
476092,EGLC,2026-05-14,11,11,true,true
497011,RCSS,2026-05-20,11,1,true,true
533150,KMIA,2026-05-30,11,1,true,true
642568,KDAL,2026-06-29,11,1,true,true
664849,RKSI,2026-07-06,11,3,true,true
675653,FACT,2026-07-09,11,1,true,true
693919,RJTT,2026-07-14,11,1,true,true
697076,KATL,2026-07-14,11,1,true,true
697501,EGLC,2026-07-15,11,3,true,true
497029,WMKK,2026-05-20,11,1,true,true
550250,EPWA,2026-06-04,11,1,true,true
571022,SBGR,2026-06-09,11,1,true,true
624140,KSEA,2026-06-24,11,1,true,true
642573,KBKF,2026-06-29,11,1,true,true
675485,RKSI,2026-07-09,11,1,true,true
731563,RKPK,2026-07-24,11,1,true,true
515636,KATL,2026-05-25,11,1,true,true
533141,LFPB,2026-05-30,11,1,true,true
568047,LIMC,2026-06-09,11,1,true,true
585987,RCSS,2026-06-14,11,1,true,true
589057,KLAX,2026-06-14,11,1,true,true
606678,KDAL,2026-06-19,11,1,true,true
